Type,BROTEC,ARTTRID,Fire,Topo,D_BOUND,D_ROADS,Topo2,D_BOUND.s,D_ROADS.s,ARTTRID.PA,ARTTRID.mid,BROTEC.PA,BROTEC.mid
Train,2,0,0,0.0199,250.1711026,287.5389183,0.00039601,0.250171103,2.875389183,1,0,0,0.15
Train,3,0,1,-0.0407,193.7529187,727.0717131,0.00165649,0.193752919,7.270717131,1,0,0,0.375
Train,2,0,1,-0.0192,455.0326574,761.9595165,0.00036864,0.455032657,7.619595165,1,0,0,0.15
Train,3,0,1,0.0348,202.0702839,3.098968009,0.00121104,0.202070284,0.03098968,1,0,0,0.375
Train,4,0,1,0.0096,81.17115456,555.7745129,9.22E-05,0.081171155,5.557745129,1,0,0,0.625
Train,4,0,1,-0.2381,84.01949811,1396.111126,0.05669161,0.084019498,13.96111126,1,0,0,0.625
Train,3,0,1,-0.0121,349.5272574,1242.621055,0.00014641,0.349527257,12.42621055,1,0,0,0.375
Train,3,0,1,-0.0226,371.7258793,293.3572816,0.00051076,0.371725879,2.933572816,1,0,0,0.375
Train,2,0,1,-0.104,204.5261212,408.1538858,0.010816,0.204526121,4.081538858,1,0,0,0.15
Train,2,0,1,0.0526,393.6783993,941.3531124,0.00276676,0.393678399,9.413531124,1,0,0,0.15
Train,2,0,1,0.0335,126.3214502,36.70546666,0.00112225,0.12632145,0.367054667,1,0,0,0.15
Train,4,0,1,-0.0349,51.44174915,229.0071234,0.00121801,0.051441749,2.290071234,1,0,0,0.625
Train,5,0,1,0.1098,263.8515032,498.4788477,0.01205604,0.263851503,4.984788477,1,0,0,0.85
Train,3,0,1,0.1246,287.9883559,502.0626053,0.01552516,0.287988356,5.020626053,1,0,0,0.375
Train,5,0,1,0.0269,141.0636068,650.0818491,0.00072361,0.141063607,6.500818491,1,0,0,0.85
Train,1,0,1,-0.0021,292.294164,1411.758956,4.41E-06,0.292294164,14.11758956,1,0,0,0.025
Train,1,0,0,0.1011,465.7519766,468.6652386,0.01022121,0.465751977,4.686652386,1,0,0,0.025
Train,2,0,1,0.0313,96.92892204,1628.717542,0.00097969,0.096928922,16.28717542,1,0,0,0.15
Train,5,0,1,-0.0544,254.8406387,1231.085777,0.00295936,0.254840639,12.31085777,1,0,0,0.85
Train,3,0,1,-0.034,147.9770489,1555.857706,0.001156,0.147977049,15.55857706,1,0,0,0.375
Train,2,0,1,-0.0061,76.73906785,1292.177411,3.72E-05,0.076739068,12.92177411,1,0,0,0.15
Train,4,0,1,-0.0885,161.8455365,169.0418664,0.00783225,0.161845537,1.690418664,1,0,0,0.625
Train,4,0,1,-0.0457,195.3320933,1523.245255,0.00208849,0.195332093,15.23245255,1,0,0,0.625
Train,1,0,1,-0.0246,270.9790791,1325.029795,0.00060516,0.270979079,13.25029795,1,0,0,0.025
Train,4,0,1,0.1006,366.0613396,1369.658475,0.01012036,0.36606134,13.69658475,1,0,0,0.625
Train,4,0,1,0.0646,46.08732903,1570.776847,0.00417316,0.046087329,15.70776847,1,0,0,0.625
